timestamp,open,high,low,close,volume
2023-12-14 06:15:00,42879.83,42968.57,42871.44,42948.61,34.18352
2023-12-14 06:20:00,42950.3,43121.9,42927.66,43109.24,154.82865
2023-12-14 06:25:00,43110.83,43110.83,43020.03,43027.52,30.01097
2023-12-14 06:30:00,43029.26,43042.33,42967.76,43001.17,25.94371
2023-12-14 06:35:00,42998.07,43004.66,42950.17,42983.46,16.72167
2023-12-14 06:40:00,42981.28,42997.19,42937.91,42950.14,14.54038
2023-12-14 06:45:00,42949.4,42955.09,42873.11,42903.01,24.92287
2023-12-14 06:50:00,42903.2,42974.88,42903.01,42955.69,16.74738
2023-12-14 06:55:00,42955.66,42963.46,42893.69,42920.32,15.34029
2023-12-14 07:00:00,42919.98,42961.45,42903.87,42906.6,10.75912
2023-12-14 07:05:00,42907.8,42910.21,42830.25,42834.67,15.2935
2023-12-14 07:10:00,42832.15,42856.67,42795.83,42832.86,23.46341
2023-12-14 07:15:00,42830.51,42830.86,42770,42801.29,20.38826
2023-12-14 07:20:00,42797.39,42856.73,42788.32,42854.7,27.3157
2023-12-14 07:25:00,42854.7,42856.69,42794.08,42820.9,49.51142
2023-12-14 07:30:00,42820.9,42862.2,42800.87,42851,17.49934
2023-12-14 07:35:00,42851.12,42870.36,42826.01,42826.02,16.56971
2023-12-14 07:40:00,42826.02,42859.17,42812.55,42825.74,15.62695
2023-12-14 07:45:00,42825.74,42836.93,42786.12,42796.87,19.54606
2023-12-14 07:50:00,42796.88,42894.82,42794.45,42870.4,8.25149
2023-12-14 07:55:00,42870.4,42933.66,42870.4,42914.05,9.14556
2023-12-14 08:00:00,42910.12,42933.63,42880.62,42891.21,10.89951
2023-12-14 08:05:00,42886.57,42889.52,42842.66,42874.72,16.89097
2023-12-14 08:10:00,42874.69,42966.71,42868.99,42965.63,20.56986
2023-12-14 08:15:00,42965.4,43007.75,42944.92,42973.71,49.26885
2023-12-14 08:20:00,42971.72,42985.51,42911.34,42976.41,21.18774
2023-12-14 08:25:00,42973.85,42980.48,42934.02,42971.91,13.23762
2023-12-14 08:30:00,42972.85,42973.69,42945.74,42947.43,7.20632
2023-12-14 08:35:00,42947.43,42950.26,42911.43,42939.27,6.63332
2023-12-14 08:40:00,42939.51,42944.27,42883.1,42892.11,11.15639
2023-12-14 08:45:00,42892.11,42894.47,42817.86,42835.82,17.55393
2023-12-14 08:50:00,42837.19,42852.17,42778.97,42784.07,19.18744
2023-12-14 08:55:00,42781.68,42829.27,42770,42770.92,18.13076
2023-12-14 09:00:00,42772.05,42773.33,42693.14,42757.1,148.714
2023-12-14 09:05:00,42757.87,42839.66,42747.99,42795.31,41.00532
2023-12-14 09:10:00,42795.31,42830.77,42779.74,42785.2,9.0476
2023-12-14 09:15:00,42783.92,42794.83,42744.29,42765.76,27.9666
2023-12-14 09:20:00,42762.06,42789.06,42755,42765.05,34.72933
2023-12-14 09:25:00,42763.81,42798.6,42756.1,42785.72,21.16944
2023-12-14 09:30:00,42785.96,42803.95,42784.18,42798.66,17.64769
2023-12-14 09:35:00,42799.19,42858.3,42799.19,42841.22,27.18819
2023-12-14 09:40:00,42845.87,42884.53,42841.44,42861.84,5.76448
2023-12-14 09:45:00,42862.05,42862.05,42816.75,42837.41,11.69843
2023-12-14 09:50:00,42835.49,42869.71,42831.58,42867.89,5.56874
2023-12-14 09:55:00,42867.81,42930.68,42863.14,42893.33,78.29392
2023-12-14 10:00:00,42890.28,42914.28,42874.15,42913.93,7.04186
2023-12-14 10:05:00,42913.94,42933.96,42833.69,42841.57,15.49579
2023-12-14 10:10:00,42843.35,42861.22,42820.62,42820.86,17.22023
2023-12-14 10:15:00,42824.66,42854.53,42807.2,42807.2,16.97139
2023-12-14 10:20:00,42806.48,42853.96,42791.94,42850.02,18.60035
2023-12-14 10:25:00,42848.83,42921.95,42844.3,42908.93,15.66947
2023-12-14 10:30:00,42911.17,42968.01,42866.4,42876.11,29.28191
2023-12-14 10:35:00,42876.07,42930.42,42862.52,42909.73,20.69361
2023-12-14 10:40:00,42910.83,42938.17,42892.83,42924.99,15.98711
2023-12-14 10:45:00,42924.99,42965.68,42916.74,42952.64,9.19744
2023-12-14 10:50:00,42952.64,42989.97,42952.64,42986.88,9.58009
2023-12-14 10:55:00,42986.88,43027.44,42953.2,42975.89,24.8505
